"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","301","test_get_exercises","tests.exercises","Fri Jan 23 14:07:48 UTC 2026","passed","Fri Jan 23 14:07:48 UTC 2026","TestExercises","test_exercises","",""
"","36","test_update_exercise","tests.exercises","Fri Jan 23 14:07:49 UTC 2026","passed","Fri Jan 23 14:07:49 UTC 2026","TestExercises","test_exercises","",""
"","287","test_get_user_me","tests.users","Fri Jan 23 14:07:53 UTC 2026","passed","Fri Jan 23 14:07:53 UTC 2026","TestUsers","test_users","",""
"","1119","test_delete_file","tests.files","Fri Jan 23 14:07:52 UTC 2026","passed","Fri Jan 23 14:07:53 UTC 2026","TestFiles","test_files","",""
"","833","test_create_exercises","tests.exercises","Fri Jan 23 14:07:47 UTC 2026","passed","Fri Jan 23 14:07:48 UTC 2026","TestExercises","test_exercises","",""
"","1421","test_delete_cource","tests.courses","Fri Jan 23 14:07:44 UTC 2026","passed","Fri Jan 23 14:07:45 UTC 2026","TestCourses","test_courses","",""
"","20","test_get_file","tests.files","Fri Jan 23 14:07:49 UTC 2026","passed","Fri Jan 23 14:07:49 UTC 2026","TestFiles","test_files","",""
"","285","test_create_file","tests.files","Fri Jan 23 14:07:49 UTC 2026","passed","Fri Jan 23 14:07:49 UTC 2026","TestFiles","test_files","",""
"","286","test_login","tests.authentication","Fri Jan 23 14:07:42 UTC 2026","passed","Fri Jan 23 14:07:43 UTC 2026","TestAuthentication","test_authentication","",""
"","269","test_update_user","tests.users","Fri Jan 23 14:07:54 UTC 2026","passed","Fri Jan 23 14:07:54 UTC 2026","TestUsers","test_users","",""
"","544","test_create_file_with_empty_directory","tests.files","Fri Jan 23 14:07:51 UTC 2026","passed","Fri Jan 23 14:07:51 UTC 2026","TestFiles","test_files","",""
"","25","test_get_exercise","tests.exercises","Fri Jan 23 14:07:46 UTC 2026","passed","Fri Jan 23 14:07:46 UTC 2026","TestExercises","test_exercises","",""
"","801","test_create_user[gmail.com]","tests.users","Fri Jan 23 14:07:52 UTC 2026","passed","Fri Jan 23 14:07:53 UTC 2026","TestUsers","test_users","",""
"","580","test_get_course","tests.courses","Fri Jan 23 14:07:46 UTC 2026","passed","Fri Jan 23 14:07:47 UTC 2026","TestCourses","test_courses","",""
"","531","test_create_user[mail.ru]","tests.users","Fri Jan 23 14:07:51 UTC 2026","passed","Fri Jan 23 14:07:52 UTC 2026","TestUsers","test_users","",""
"","265","test_get_file_with_incorrect_file_id","tests.files","Fri Jan 23 14:07:52 UTC 2026","passed","Fri Jan 23 14:07:52 UTC 2026","TestFiles","test_files","",""
"","542","test_get_user_for_id","tests.users","Fri Jan 23 14:07:53 UTC 2026","passed","Fri Jan 23 14:07:54 UTC 2026","TestUsers","test_users","",""
"","8","test_delete_user","tests.users","Fri Jan 23 14:07:55 UTC 2026","passed","Fri Jan 23 14:07:55 UTC 2026","TestUsers","test_users","",""
"","563","test_create_user[example.com]","tests.users","Fri Jan 23 14:07:53 UTC 2026","passed","Fri Jan 23 14:07:54 UTC 2026","TestUsers","test_users","",""
"","539","test_create_file_with_empty_filename","tests.files","Fri Jan 23 14:07:51 UTC 2026","passed","Fri Jan 23 14:07:52 UTC 2026","TestFiles","test_files","",""
"","39","test_delete_exercise","tests.exercises","Fri Jan 23 14:07:49 UTC 2026","passed","Fri Jan 23 14:07:49 UTC 2026","TestExercises","test_exercises","",""
"","323","test_create_course","tests.courses","Fri Jan 23 14:07:44 UTC 2026","passed","Fri Jan 23 14:07:44 UTC 2026","TestCourses","test_courses","",""
"","44","test_update_course","tests.courses","Fri Jan 23 14:07:47 UTC 2026","passed","Fri Jan 23 14:07:47 UTC 2026","TestCourses","test_courses","",""
"","24","test_update_token","tests.authentication","Fri Jan 23 14:07:44 UTC 2026","passed","Fri Jan 23 14:07:44 UTC 2026","TestAuthentication","test_authentication","",""
"","42","test_get_courses","tests.courses","Fri Jan 23 14:07:44 UTC 2026","passed","Fri Jan 23 14:07:44 UTC 2026","TestCourses","test_courses","",""
