"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41","test_delete_exercise","tests.exercises","Wed Jan 28 16:53:39 UTC 2026","passed","Wed Jan 28 16:53:39 UTC 2026","TestExercises","test_exercises","",""
"","1078","test_create_user[example.com]","tests.users","Wed Jan 28 16:53:42 UTC 2026","passed","Wed Jan 28 16:53:43 UTC 2026","TestUsers","test_users","",""
"","813","test_login","tests.authentication","Wed Jan 28 16:53:33 UTC 2026","passed","Wed Jan 28 16:53:33 UTC 2026","TestAuthentication","test_authentication","",""
"","28","test_get_exercises","tests.exercises","Wed Jan 28 16:53:39 UTC 2026","passed","Wed Jan 28 16:53:39 UTC 2026","TestExercises","test_exercises","",""
"","41","test_create_file","tests.files","Wed Jan 28 16:53:39 UTC 2026","passed","Wed Jan 28 16:53:39 UTC 2026","TestFiles","test_files","",""
"","335","test_create_course","tests.courses","Wed Jan 28 16:53:34 UTC 2026","passed","Wed Jan 28 16:53:34 UTC 2026","TestCourses","test_courses","",""
"","33","test_update_token","tests.authentication","Wed Jan 28 16:53:34 UTC 2026","passed","Wed Jan 28 16:53:34 UTC 2026","TestAuthentication","test_authentication","",""
"","317","test_get_courses","tests.courses","Wed Jan 28 16:53:34 UTC 2026","passed","Wed Jan 28 16:53:34 UTC 2026","TestCourses","test_courses","",""
"","17","test_get_user_me","tests.users","Wed Jan 28 16:53:45 UTC 2026","passed","Wed Jan 28 16:53:45 UTC 2026","TestUsers","test_users","",""
"","543","test_get_user_for_id","tests.users","Wed Jan 28 16:53:44 UTC 2026","passed","Wed Jan 28 16:53:45 UTC 2026","TestUsers","test_users","",""
"","546","test_create_file_with_empty_directory","tests.files","Wed Jan 28 16:53:41 UTC 2026","passed","Wed Jan 28 16:53:42 UTC 2026","TestFiles","test_files","",""
"","810","test_get_file_with_incorrect_file_id","tests.files","Wed Jan 28 16:53:42 UTC 2026","passed","Wed Jan 28 16:53:43 UTC 2026","TestFiles","test_files","",""
"","21","test_get_file","tests.files","Wed Jan 28 16:53:42 UTC 2026","passed","Wed Jan 28 16:53:42 UTC 2026","TestFiles","test_files","",""
"","518","test_delete_user","tests.users","Wed Jan 28 16:53:44 UTC 2026","passed","Wed Jan 28 16:53:45 UTC 2026","TestUsers","test_users","",""
"","43","test_get_course","tests.courses","Wed Jan 28 16:53:37 UTC 2026","passed","Wed Jan 28 16:53:37 UTC 2026","TestCourses","test_courses","",""
"","35","test_update_exercise","tests.exercises","Wed Jan 28 16:53:39 UTC 2026","passed","Wed Jan 28 16:53:39 UTC 2026","TestExercises","test_exercises","",""
"","28","test_get_exercise","tests.exercises","Wed Jan 28 16:53:37 UTC 2026","passed","Wed Jan 28 16:53:37 UTC 2026","TestExercises","test_exercises","",""
"","262","test_update_user","tests.users","Wed Jan 28 16:53:45 UTC 2026","passed","Wed Jan 28 16:53:45 UTC 2026","TestUsers","test_users","",""
"","1071","test_create_user[mail.ru]","tests.users","Wed Jan 28 16:53:42 UTC 2026","passed","Wed Jan 28 16:53:43 UTC 2026","TestUsers","test_users","",""
"","44","test_update_course","tests.courses","Wed Jan 28 16:53:37 UTC 2026","passed","Wed Jan 28 16:53:37 UTC 2026","TestCourses","test_courses","",""
"","525","test_create_file_with_empty_filename","tests.files","Wed Jan 28 16:53:40 UTC 2026","passed","Wed Jan 28 16:53:41 UTC 2026","TestFiles","test_files","",""
"","52","test_delete_cource","tests.courses","Wed Jan 28 16:53:34 UTC 2026","passed","Wed Jan 28 16:53:34 UTC 2026","TestCourses","test_courses","",""
"","41","test_create_exercises","tests.exercises","Wed Jan 28 16:53:37 UTC 2026","passed","Wed Jan 28 16:53:37 UTC 2026","TestExercises","test_exercises","",""
"","311","test_delete_file","tests.files","Wed Jan 28 16:53:41 UTC 2026","passed","Wed Jan 28 16:53:42 UTC 2026","TestFiles","test_files","",""
"","1093","test_create_user[gmail.com]","tests.users","Wed Jan 28 16:53:42 UTC 2026","passed","Wed Jan 28 16:53:43 UTC 2026","TestUsers","test_users","",""
