"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1393","test_create_user[mail.ru]","tests.users","Wed Jan 21 12:07:17 UTC 2026","passed","Wed Jan 21 12:07:18 UTC 2026","TestUsers","test_users","",""
"","802","test_create_user[gmail.com]","tests.users","Wed Jan 21 12:07:17 UTC 2026","passed","Wed Jan 21 12:07:18 UTC 2026","TestUsers","test_users","",""
"","274","test_create_file_with_empty_directory","tests.files","Wed Jan 21 12:07:16 UTC 2026","passed","Wed Jan 21 12:07:17 UTC 2026","TestFiles","test_files","",""
"","542","test_update_user","tests.users","Wed Jan 21 12:07:19 UTC 2026","passed","Wed Jan 21 12:07:20 UTC 2026","TestUsers","test_users","",""
"","262","test_delete_user","tests.users","Wed Jan 21 12:07:20 UTC 2026","passed","Wed Jan 21 12:07:20 UTC 2026","TestUsers","test_users","",""
"","1113","test_create_user[example.com]","tests.users","Wed Jan 21 12:07:17 UTC 2026","passed","Wed Jan 21 12:07:18 UTC 2026","TestUsers","test_users","",""
"","294","test_update_token","tests.authentication","Wed Jan 21 12:07:14 UTC 2026","passed","Wed Jan 21 12:07:14 UTC 2026","TestAuthentication","test_authentication","",""
"","530","test_get_file_with_incorrect_file_id","tests.files","Wed Jan 21 12:07:18 UTC 2026","passed","Wed Jan 21 12:07:18 UTC 2026","TestFiles","test_files","",""
"","20","test_get_file","tests.files","Wed Jan 21 12:07:17 UTC 2026","passed","Wed Jan 21 12:07:17 UTC 2026","TestFiles","test_files","",""
"","807","test_create_file_with_empty_filename","tests.files","Wed Jan 21 12:07:16 UTC 2026","passed","Wed Jan 21 12:07:17 UTC 2026","TestFiles","test_files","",""
"","841","test_create_exercises","tests.exercises","Wed Jan 21 12:07:17 UTC 2026","passed","Wed Jan 21 12:07:17 UTC 2026","TestExercises","test_exercises","",""
"","864","test_delete_file","tests.files","Wed Jan 21 12:07:13 UTC 2026","passed","Wed Jan 21 12:07:14 UTC 2026","TestFiles","test_files","",""
"","30","test_create_file","tests.files","Wed Jan 21 12:07:14 UTC 2026","passed","Wed Jan 21 12:07:14 UTC 2026","TestFiles","test_files","",""
"","589","test_create_course","tests.courses","Wed Jan 21 12:07:14 UTC 2026","passed","Wed Jan 21 12:07:14 UTC 2026","TestCourses","test_courses","",""
"","544","test_get_user_for_id","tests.users","Wed Jan 21 12:07:20 UTC 2026","passed","Wed Jan 21 12:07:20 UTC 2026","TestUsers","test_users","",""
"","552","test_login","tests.authentication","Wed Jan 21 12:07:13 UTC 2026","passed","Wed Jan 21 12:07:13 UTC 2026","TestAuthentication","test_authentication","",""
"","13","test_get_user_me","tests.users","Wed Jan 21 12:07:20 UTC 2026","passed","Wed Jan 21 12:07:20 UTC 2026","TestUsers","test_users","",""
