"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","276","test_create_file_with_empty_directory","tests.files","Wed Jan 21 13:20:30 UTC 2026","passed","Wed Jan 21 13:20:30 UTC 2026","TestFiles","test_files","",""
"","1101","test_create_user[mail.ru]","tests.users","Wed Jan 21 13:20:30 UTC 2026","passed","Wed Jan 21 13:20:31 UTC 2026","TestUsers","test_users","",""
"","536","test_get_user_for_id","tests.users","Wed Jan 21 13:20:33 UTC 2026","passed","Wed Jan 21 13:20:33 UTC 2026","TestUsers","test_users","",""
"","33","test_create_exercises","tests.exercises","Wed Jan 21 13:20:30 UTC 2026","passed","Wed Jan 21 13:20:30 UTC 2026","TestExercises","test_exercises","",""
"","795","test_get_user_me","tests.users","Wed Jan 21 13:20:32 UTC 2026","passed","Wed Jan 21 13:20:33 UTC 2026","TestUsers","test_users","",""
"","1383","test_create_user[gmail.com]","tests.users","Wed Jan 21 13:20:30 UTC 2026","passed","Wed Jan 21 13:20:31 UTC 2026","TestUsers","test_users","",""
"","827","test_login","tests.authentication","Wed Jan 21 13:20:25 UTC 2026","passed","Wed Jan 21 13:20:26 UTC 2026","TestAuthentication","test_authentication","",""
"","277","test_create_file_with_empty_filename","tests.files","Wed Jan 21 13:20:30 UTC 2026","passed","Wed Jan 21 13:20:30 UTC 2026","TestFiles","test_files","",""
"","295","test_create_user[example.com]","tests.users","Wed Jan 21 13:20:30 UTC 2026","passed","Wed Jan 21 13:20:30 UTC 2026","TestUsers","test_users","",""
"","19","test_get_file_with_incorrect_file_id","tests.files","Wed Jan 21 13:20:30 UTC 2026","passed","Wed Jan 21 13:20:30 UTC 2026","TestFiles","test_files","",""
"","567","test_delete_file","tests.files","Wed Jan 21 13:20:27 UTC 2026","passed","Wed Jan 21 13:20:28 UTC 2026","TestFiles","test_files","",""
"","24","test_update_user","tests.users","Wed Jan 21 13:20:33 UTC 2026","passed","Wed Jan 21 13:20:33 UTC 2026","TestUsers","test_users","",""
"","255","test_delete_user","tests.users","Wed Jan 21 13:20:33 UTC 2026","passed","Wed Jan 21 13:20:33 UTC 2026","TestUsers","test_users","",""
"","583","test_create_course","tests.courses","Wed Jan 21 13:20:27 UTC 2026","passed","Wed Jan 21 13:20:27 UTC 2026","TestCourses","test_courses","",""
"","559","test_update_token","tests.authentication","Wed Jan 21 13:20:27 UTC 2026","passed","Wed Jan 21 13:20:28 UTC 2026","TestAuthentication","test_authentication","",""
"","563","test_get_file","tests.files","Wed Jan 21 13:20:28 UTC 2026","passed","Wed Jan 21 13:20:29 UTC 2026","TestFiles","test_files","",""
"","822","test_create_file","tests.files","Wed Jan 21 13:20:26 UTC 2026","passed","Wed Jan 21 13:20:27 UTC 2026","TestFiles","test_files","",""
